id,original_text,cleaned_text,tokens,stars,caps_emphasis_count
1,"Haven't been here in over 20 years. Weird saying that. Got 2 free tickets for being a veteran so we come over for the day and it was food, wine & garden.

First impression is how much bigger it is that I remember. Also the last time I was here you could not drink except at the beer tasting. That has definitely changed.

The festival was in one section of the park so we got our food card and started eating. Some things were good. Others just ok.

Overall we had a great time and planning to return.",have not been here in over 20 years weird saying that got 2 free tickets for being a veteran so we come over for the day and it was food wine garden first impression is how much bigger it is that i remember also the last time i was here you could not drink except at the beer tasting that has definitely changed the festival was in one section of the park so we got our food card and started eating some things were good others just ok overall we had a great time and planning to return,not 20 year weird say get 2 free ticket veteran come day food wine garden impression big remember time not drink beer taste definitely change festival section park get food card start eat thing good ok overall great time planning return,4,0
2,"On field trip with my summer camps,
We traveled with 26 middle school age students from Jacksonville.

We were disappointed because a lot of the rides were being serviced. Two of the most famous rides, the cheetah and the water rides were not in service. They should put on the website if rides are being serviced and not functioning.

The food in Oasis Pizza was not tasty at all. The pizza and fries were dry and warmed from being under the light but they were expensive. The servers were not listening when I mentioned this.

I will not be returning.",on field trip with my summer camps we traveled with 26 middle school age students from jacksonville we were disappointed because a lot of the rides were being serviced two of the most famous rides the cheetah and the water rides were not in service they should put on the website if rides are being serviced and not functioning the food in oasis pizza was not tasty at all the pizza and fries were dry and warmed from being under the light but they were expensive the servers were not listening when i mentioned this i will not be returning,field trip summer camp travel 26 middle school age student jacksonville disappoint lot ride service famous ride cheetah water rid not service website rid service not function food oasis pizza not tasty pizza fry dry warm light expensive server not listen mention not return,2,0
3,"I have never seen a more expensive amusement park that is run so badly. They should pay people to go here. You can legit spend a grand for a family of four and get on four or five rides.

Layout? Idiotic - three distinct paths that don't connect. Go down one and you are trapped. Pathways and signs? Enjoy going in circles when the few paths that are there are closed off.

Food? Enjoy virtually no options with bang up prices like 5.50 for a bottle of water. Took a half hour to get a pulled pork sandwich and fries on a Tuesday at 3PM.

They understaff, under run the rides to save on maintenance, and generally don't care. Go literally anywhere else.

Update - after pretending they care I was supposedly going to at least get money back for the ""fast passes,"" but they ghosted me. The owners of this place suck.",i have never seen a more expensive amusement park that is run so badly they should pay people to go here you can legit spend a grand for a family of four and get on four or five rides layout idiotic three distinct paths that do not connect go down one and you are trapped pathways and signs enjoy going in circles when the few paths that are there are closed off food enjoy virtually no options with bang up prices like 550 for a bottle of water took a half hour to get a pulled pork sandwich and fries on a tuesday at 3pm they understaff under run the rides to save on maintenance and generally do not care go literally anywhere else update after pretending they care i was supposedly going to at least get money back for the fast passes but they ghosted me the owners of this place suck,never see expensive amusement park run badly pay people legit spend grand family rid layout idiotic distinct path not connect trap pathway sign enjoy go circle path close food enjoy virtually no option bang price like 550 bottle water take half hour pull pork sandwich fry tuesday 3 pm understaff run rid save maintenance generally not care literally update pretend care supposedly go money fast pass ghost owner place suck,1,0
4,"They're spam-bombing me months after I visited, with THIRTEEN messages a day, even though I ""unsubscribed"" 9 days ago. And it's not just for Busch Gardens, they're spamming me about all the other parks owned by the parent company.

It would be stupid enough if unsubscribe wasn't immediate (there's no excuse for there to be a delay), but it might not be a delay, they might simply not honor unsubscribes ever.",they are spam bombing me months after i visited with thirteen messages a day even though i unsubscribed 9 days ago and it is not just for busch gardens they are spamming me about all the other parks owned by the parent company it would be stupid enough if unsubscribe was not immediate there is no excuse for there to be a delay but it might not be a delay they might simply not honor unsubscribes ever,spam bombing month visit thirteen message day unsubscribe 9 day ago not busch garden spamme park own parent company stupid unsubscribe not immediate no excuse delay not delay simply not honor unsubscribe,1,1
5,Forgot to mention. Their bag security check is whole lot more through comparing to the other theme parks.,forgot to mention their bag security check is whole lot more through comparing to the other theme parks,forget mention bag security check lot compare theme park,3,0
6,"Busch Gardens will always hold a special place in my heart for so many different reasons! This review is solely for the purpose of rating the Giraffe encounter. As passholders, we were able to do this as an added perk for nothing. It was amazing. We got to meet giraffe ruby and feed her lettuce. The zoo keeper was really informative telling us about the 2 year old Rhino and dolly the ostrich. It was awesome being up close and person to a huge giraffe! Loved this perk. For those who aren't passholders, it's worth it. We went on the last safari of the day and only about 8-10 people on it. Very roomy. Loved this experience. Sad we didn't do it before!!",busch gardens will always hold a special place in my heart for so many different reasons this review is solely for the purpose of rating the giraffe encounter as passholders we were able to do this as an added perk for nothing it was amazing we got to meet giraffe ruby and feed her lettuce the zoo keeper was really informative telling us about the 2 year old rhino and dolly the ostrich it was awesome being up close and person to a huge giraffe loved this perk for those who are not passholders it is worth it we went on the last safari of the day and only about 8 10 people on it very roomy loved this experience sad we did not do it before,busch garden hold special place heart different reason review solely purpose rating giraffe encounter passholder able add perk nothing amazing get meet giraffe ruby feed lettuce zoo keeper informative tell 2 year old rhino dolly ostrich awesome close person huge giraffe love perk not passholder worth go safari day 8 10 people roomy love experience sad not,5,0
7,"We have been loyal pass members for years. We even kept our memberships active throughout the entire pandemic to support the park. Unfortunately, after today, we are done. The level of disorganization is simply unacceptable.
The trams weren't running, and the line to get in stretched all the way back to the first tram stop in the main parking lot. The most frustrating part? The parking lot wasn't even full. There is no reason to have families baking in the Florida heat in a single, massive line other than total mismanagement.
The ""customer service"" was the final straw. My family had to step out of the long line to use the restroom, and upon returning, we were told to restart at the very back of the line. To treat long-term, loyal supporters this way is a slap in the face. We will no longer be pass members. Busch Gardens has become a disorganized mess that clearly doesn't value its guests.",we have been loyal pass members for years we even kept our memberships active throughout the entire pandemic to support the park unfortunately after today we are done the level of disorganization is simply unacceptable the trams were not running and the line to get in stretched all the way back to the first tram stop in the main parking lot the most frustrating part the parking lot was not even full there is no reason to have families baking in the florida heat in a single massive line other than total mismanagement the customer service was the final straw my family had to step out of the long line to use the restroom and upon returning we were told to restart at the very back of the line to treat long term loyal supporters this way is a slap in the face we will no longer be pass members busch gardens has become a disorganized mess that clearly does not value its guests,loyal pass member year keep membership active entire pandemic support park unfortunately today level disorganization simply unacceptable tram not run line stretch way tram stop main parking lot frustrating parking lot not no reason family bake florida heat single massive line total mismanagement customer service final straw family step long line use restroom return tell restart line treat long term loyal supporter way slap face no long pass member busch garden disorganize mess clearly not value guest,1,0
8,"Busch Gardens in Tampa is a nice place but so expensive. I would not go again unless I had free tickets again. $147 +$45 parking. Um...nope.
That said, the park itself is nice. Large, directing paths to attractions, lots of benches and some shady areas.

The lines for the roller coasters (like 8 I think) were so long and annoying. We rode one ride and the train, then chose not to bother with the rest. There are no small coasters for anyone thats a scaredy cat like me; however, there is a kid area that looks cool. We basically walked around looking at animals. It's like an amusement park and zoo combined.

Parking lot is huge with decent size spaces. It took almost 45 min to get to the parking booth due to traffic. There is a tram from the parking lot to the park, but we walked the 2+ blocks with no issues.

Overall, a nice place if you like coasters and animals. Nice to walk around and see the cool art too.",busch gardens in tampa is a nice place but so expensive i would not go again unless i had free tickets again 147 45 parking umnope that said the park itself is nice large directing paths to attractions lots of benches and some shady areas the lines for the roller coasters like 8 i think were so long and annoying we rode one ride and the train then chose not to bother with the rest there are no small coasters for anyone that is a scaredy cat like me however there is a kid area that looks cool we basically walked around looking at animals it is like an amusement park and zoo combined parking lot is huge with decent size spaces it took almost 45 min to get to the parking booth due to traffic there is a tram from the parking lot to the park but we walked the 2 blocks with no issues overall a nice place if you like coasters and animals nice to walk around and see the cool art too,busch gardens tampa nice place expensive not free ticket 147 45 parking umnope say park nice large directing path attraction lot bench shady area line roller coaster like 8 think long annoying ride ride train chose not bother rest no small coaster scaredy cat like kid area look cool basically walk look animal like amusement park zoo combine parking lot huge decent size space take 45 min parking booth traffic tram parking lot park walk 2 block no issue overall nice place like coaster animal nice walk cool art,4,0
9,The Busch Gardens experience I remember as a kid is no more. Their customer service is non-existent. Don't believe me? Try calling right now. After more than an hour on hold it will force you to leave a message and never call back. Send an email that says you'll hear back in 3 days? Ghosted. To get an issue with our reservation fixed I had to file a complaint with the BBB. No one wants to do that but what choice is there? I should have canceled flat out but my teen wanted to go so badly as a coaster fan. The park itself is fine in terms of cleanliness and employees but it stops there. We had 4 park days and every day many rides were closed. The food is underwhelming and expensive. If you're going to charge Disney prices make it good. The only positive experience was the ice show at the Morocco pavilion. We will stick with Disney.,the busch gardens experience i remember as a kid is no more their customer service is non existent do not believe me try calling right now after more than an hour on hold it will force you to leave a message and never call back send an email that says you will hear back in 3 days ghosted to get an issue with our reservation fixed i had to file a complaint with the bbb no one wants to do that but what choice is there i should have canceled flat out but my teen wanted to go so badly as a coaster fan the park itself is fine in terms of cleanliness and employees but it stops there we had 4 park days and every day many rides were closed the food is underwhelming and expensive if you are going to charge disney prices make it good the only positive experience was the ice show at the morocco pavilion we will stick with disney,busch gardens experience remember kid no customer service non existent not believe try call right hour hold force leave message never send email say hear 3 day ghost issue reservation fix file complaint bbb no want choice cancel flat teen want badly coaster fan park fine term cleanliness employee stop 4 park day day rid close food underwhelme expensive going charge disney price good positive experience ice morocco pavilion stick disney,1,0
10,"As a first-time visitor to Busch Gardens Tampa Bay, I was excited to celebrate my niece's 17th birthday here. I snagged my ticket on Groupon (definitely the best bang for my buck), but unfortunately, the experience didn't quite match the hype.

I must have picked an off day because 5 out of 11 rides were closed. One ride had a posted 25-minute wait, only to shut down while we were standing in line. Major letdown. My ticket included a meal voucher, but with only two restaurants open in the entire park, food lines were extremely long. Guest Services wasn't any better -- the line was just as packed with other frustrated guests sharing similar complaints.

I will say, the manager was professional and listened to my concerns, ultimately providing a voucher to visit one of their sister parks, which I appreciated. Still, spending $16 on parking and hours wandering around with limited attractions open made us question if we should've just enjoyed a free beach day instead.

Also worth noting: Adventure Island wasn't open, as staff were reportedly training at Busch Gardens for the upcoming season.

Hoping for a better experience next time at a different park.",as a first time visitor to busch gardens tampa bay i was excited to celebrate my nieces 17th birthday here i snagged my ticket on groupon definitely the best bang for my buck but unfortunately the experience did not quite match the hype i must have picked an off day because 5 out of 11 rides were closed one ride had a posted 25 minute wait only to shut down while we were standing in line major letdown my ticket included a meal voucher but with only two restaurants open in the entire park food lines were extremely long guest services was not any better the line was just as packed with other frustrated guests sharing similar complaints i will say the manager was professional and listened to my concerns ultimately providing a voucher to visit one of their sister parks which i appreciated still spending 16 on parking and hours wandering around with limited attractions open made us question if we should have just enjoyed a free beach day instead also worth noting adventure island was not open as staff were reportedly training at busch gardens for the upcoming season hoping for a better experience next time at a different park,time visitor busch gardens tampa bay excite celebrate niece 17th birthday snag ticket groupon definitely good bang buck unfortunately experience not match hype pick day 5 11 rid close ride post 25 minute wait shut standing line major letdown ticket include meal voucher restaurant open entire park food line extremely long guest service not well line pack frustrated guest share similar complaint manager professional listen concern ultimately provide voucher visit sister park appreciate spend 16 parking hour wander limited attraction open question enjoy free beach day instead worth note adventure island not open staff reportedly train busch garden upcoming season hop well experience time different park,3,0
